traceId,activity,timestamp,status,nodeType,poolName,instanceType
3,Activity_10x08n3,2024-04-16 18:04:22,assign,task,main,a
3,Activity_10x08n3,2024-04-16 18:04:32,complete,task,main,a
3,Gateway_1ngxc9b,2024-04-16 18:04:32,complete,parallelGatewayOpen,main,a
3,Activity_14rjj9v,2024-04-16 18:04:32,start,task,main,a
3,Activity_0uqn82h,2024-04-16 18:04:32,start,subProcess,main,a
3,Event_1njp3xz,2024-04-16 18:04:32,complete,startEvent,main,a
3,Activity_12afiek,2024-04-16 18:04:32,start,task,main,a
3,Event_0pg18xv,2024-04-16 18:04:32,complete,startEvent,second,a
3,Activity_182s0e0,2024-04-16 18:04:32,start,task,second,a
3,Activity_14rjj9v,2024-04-16 18:04:32,startSetupTime,worn,main,a
3,Activity_14rjj9v,2024-04-16 18:04:42,endSetupTime,worn,main,a
3,Activity_14rjj9v,2024-04-16 18:04:42,assign,task,main,a
3,Activity_14rjj9v,2024-04-16 18:04:43,complete,task,main,a
3,Activity_12afiek,2024-04-16 18:04:43,assign,task,main,a
3,Activity_12afiek,2024-04-16 18:04:45,complete,task,main,a
3,Event_1go337f,2024-04-16 18:04:45,complete,endEvent,main,a
3,Activity_0uqn82h,2024-04-16 18:04:45,complete,subProcess,main,a
3,Activity_1ijxuyk,2024-04-16 18:04:45,start,task,main,a
3,Activity_1ijxuyk,2024-04-16 18:04:45,assign,task,main,a
2,Activity_0qykc8o,2024-04-16 18:04:45,assign,task,main,a
2,Activity_0qykc8o,2024-04-16 18:04:46,complete,task,main,a
2,Gateway_0xussxu,2024-04-16 18:04:46,complete,parallelGatewayOpen,main,a
2,Gateway_0a5f12j,2024-04-16 18:04:46,complete,exclusiveGateway,main,a
2,Event_1b9cqpn,2024-04-16 18:04:46,complete,endEvent,main,a
3,Activity_1ijxuyk,2024-04-16 18:04:47,complete,task,main,a
3,Activity_182s0e0,2024-04-16 18:04:47,assign,task,second,a
3,Activity_182s0e0,2024-04-16 18:06:27,complete,task,second,a
3,Event_016qlk7,2024-04-16 18:06:27,complete,intermediateThrowEvent,second,a
3,Event_0iqs5ri,2024-04-16 18:06:27,complete,endEvent/messageEventDefinition,second,a
3,Activity_0qykc8o,2024-04-16 18:06:27,start,task,main,a
